file_name,site_qualities,site_positions,hub_position,num_agents,site_converged,time_converged,start_state,maxTime
1706631030517079.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,1000,"(('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",1000
1706631030517416.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517426.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517435.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517445.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517455.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517475.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517188.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,715,"(('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",10000
1706631030517465.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
1706631030517375.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,232,"(('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",35000
1706631030517484.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None), ('EXPLORE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None))",100
